"fips","location","population","density"
"39127","Perry County, Ohio",36134,88.578059893
"39129","Pickaway County, Ohio",58457,116.62750047
"39091","Logan County, Ohio",45672,99.609680758
"39097","Madison County, Ohio",44731,96.028141938
"39153","Summit County, Ohio",541013,1310.6276681
"39119","Muskingum County, Ohio",86215,129.73521066
"39143","Sandusky County, Ohio",58518,143.34021742
"39149","Shelby County, Ohio",48590,119.18202353
"39161","Van Wert County, Ohio",28275,69.10612716
"39167","Washington County, Ohio",59911,94.799776992
"39171","Williams County, Ohio",36692,87.224875515
"39011","Auglaize County, Ohio",45656,113.745286
"39029","Columbiana County, Ohio",101883,191.53930458
"39037","Darke County, Ohio",51113,85.458901208
"39123","Ottawa County, Ohio",40525,159.10019022
"39051","Fulton County, Ohio",42126,103.90010953
"39065","Hardin County, Ohio",31365,66.690088634
"39079","Jackson County, Ohio",32413,77.116814064
"39053","Gallia County, Ohio",29898,64.085817031
"39077","Huron County, Ohio",58266,118.54863142
"39099","Mahoning County, Ohio",228683,555.73386662
"39009","Athens County, Ohio",65327,129.71315915
"39001","Adams County, Ohio",27698,47.438873099
"39145","Scioto County, Ohio",75314,123.41902648
"39103","Medina County, Ohio",179746,426.48703678
"39095","Lucas County, Ohio",428348,1261.1260995
"39067","Harrison County, Ohio",15040,37.382149104
"39117","Morrow County, Ohio",35328,86.986162943
"39121","Noble County, Ohio",14424,36.240107909
"39135","Preble County, Ohio",40882,96.368359631
"39147","Seneca County, Ohio",55178,100.13676504
"39151","Stark County, Ohio",370606,644.18021868
"39003","Allen County, Ohio",102351,254.28582804
"39031","Coshocton County, Ohio",36600,64.898306838
"39033","Crawford County, Ohio",41494,103.27400791
"39041","Delaware County, Ohio",209177,472.01280004
"39055","Geauga County, Ohio",93649,233.94676271
"39059","Guernsey County, Ohio",38875,74.436982464
"39073","Hocking County, Ohio",28264,67.083076061
"39085","Lake County, Ohio",230149,1003.8327763
"39107","Mercer County, Ohio",41172,89.031394041
"39141","Ross County, Ohio",76666,111.24118125
"39023","Clark County, Ohio",134083,337.84492931
"39035","Cuyahoga County, Ohio",1235072,2701.4936537
"39075","Holmes County, Ohio",43960,104.03441376
"39093","Lorain County, Ohio",309833,630.77076244
"39109","Miami County, Ohio",106987,263.18253318
"39111","Monroe County, Ohio",13654,29.961166323
"39113","Montgomery County, Ohio",531687,1152.0393866
"39155","Trumbull County, Ohio",197974,320.30123638
"39165","Warren County, Ohio",234602,584.76648345
"39173","Wood County, Ohio",130817,211.95638054
"39005","Ashland County, Ohio",53484,126.45126569
"39007","Ashtabula County, Ohio",97241,138.50558787
"40043","Dewey County, Oklahoma",4891,4.8927868654
"40059","Harper County, Oklahoma",3688,3.5509896953
"40071","Kay County, Oklahoma",43538,47.344747472
"40083","Logan County, Oklahoma",48011,64.544592052
"40035","Craig County, Oklahoma",14142,18.577400412
"40143","Tulsa County, Oklahoma",651552,1142.9119618
"40147","Washington County, Oklahoma",51527,124.00494179
"40017","Canadian County, Oklahoma",148306,165.41304517
"40057","Harmon County, Oklahoma",2653,4.9380365263
"40061","Haskell County, Oklahoma",12627,21.894379055
"40077","Latimer County, Oklahoma",10073,13.949740473
